cenario,algoritmo,drones,falha,falhos,comandante_escolhido,decisao_alcancada,acordo,validade,terminacao,mensagens_enviadas,mensagens_recebidas,mensagens_omitidas,mensagens_atrasadas,mensagens_contraditorias,status_limite_teorico,tempo_execucao
paxos_5_crash,Paxos,5,crash,1,2,Sim,Sim,Sim,Sim,23,20,0,0,0,,0.00019017399972653948
paxos_5_omissao,Paxos,5,omissao,1,2,Sim,Sim,Sim,Sim,24,21,3,0,0,,7.377200017799623e-05
paxos_5_temporizacao,Paxos,5,temporizacao,1,2,Sim,Sim,Sim,Sim,25,25,0,5,0,,0.0201569719993131
paxos_10_crash,Paxos,10,crash,2,2,Sim,Sim,Sim,Sim,46,40,0,0,0,,0.00020601799951691646
paxos_10_omissao,Paxos,10,omissao,2,2,Sim,Sim,Sim,Sim,48,44,4,0,0,,0.00014467199980572332
paxos_10_temporizacao,Paxos,10,temporizacao,2,2,Sim,Sim,Sim,Sim,50,50,0,10,0,,0.042463323999982094
lsp_5_bizantina_1,Lamport-Shostak-Pease,5,bizantina,1,2,Sim,Sim,Sim,Sim,16,16,0,0,3,Dentro,0.00017649300025368575
lsp_5_bizantina_2,Lamport-Shostak-Pease,5,bizantina,2,,Não,Não,Não,Sim,40,40,0,0,18,Fora,0.00028795200068998383
lsp_10_bizantina_1,Lamport-Shostak-Pease,10,bizantina,1,2,Sim,Sim,Sim,Sim,81,81,0,0,8,Dentro,0.000551261999135022
lsp_10_bizantina_3,Lamport-Shostak-Pease,10,bizantina,3,2,Sim,Sim,Sim,Sim,3609,3609,0,0,1200,Dentro,0.02967138399981195
lsp_10_bizantina_4,Lamport-Shostak-Pease,10,bizantina,4,,Não,Não,Não,Sim,18729,18729,0,0,8320,Fora,0.4334666519998791
